Nombre,Precio,Tipo
Nike Fast,"$2,149",Chamarra de correr Repel para mujer
NikeCourt Vision Mid,"$2,199",Tenis para mujer
Nike Sportswear Phoenix Plush,"$1,799",Pants de tejido Fleece cálidos de piernas anchas y tiro alto para mujer
Nike Waffle Debut,"$1,799",Tenis para mujer
Nike Sportswear,$999,Playera de manga corta holgada con gráfico para mujer
Nike Air Max Nuaxis,"$1,999",Tenis para mujer
Nike Sportswear Chill Knit,"$1,299",Leggings acampanados de tela de minicanalé ajustados para mujer
Nike Cortez Vintage Suede,"$2,299",Tenis para mujer
Nike Therma-FIT ADV Repel AeroLoft,"$3,699",Chaleco de running para mujer
Nike Sportswear Chill Knit,$999,Playera de manga larga slim cropped para mujer
Nike Blazer Mid '77,"$2,499",Tenis para mujer
Nike Universa,"$2,199",Leggings de largo completo y tiro alto de media sujeción con bolsillos para mujer
Nike Sportswear Classic,$799,Shorts de ciclismo de tiro alto de 20 cm para mujer
Nike Air Max 270,"$3,799",Tenis para mujer
Jordan Sport,$899,Bra Jumpman de media sujeción con almohadillas para mujer
Nike Sportswear Essential,"$3,699",Chamarra de piel sintética estampada holgada para mujer
Nike Court Vision Low Next Nature,"$1,799",Tenis para mujer
Nike Alate Minimalist,$949,Bra deportivo convertible con almohadillas de baja sujeción para mujer
Nike Alate Coverage,"$1,049",Bra deportivo de media sujeción con almohadillas para mujer
Nike Universa,"$2,199",Leggings de 7/8 de tiro alto y sujeción media con bolsillos para mujer
Nike Pegasus 41 PRM,"$3,099",Tenis de correr en pavimento para mujer
Nike Running Division,"$1,799",Playera de correr de manga larga para mujer
Nike Pro Indy Plunge,"$1,099",Bra deportivo de media sujeción con almohadillas para mujer
Nike Running Division,"$1,599",Shorts de correr reflejantes sin forro de 8 cm para mujer
Nike V2K Run,"$2,799",Tenis para mujer
Nike Sportswear Phoenix Cozy Bouclé,"$3,199",Cárdigan de tejido Knit oversized para mujer
Pumas UNAM alternativo 2024/25 Stadium,"$1,899",Jersey de fútbol Nike Dri-FIT Replica para mujer
Nike Motiva GORE-TEX,"$3,299",Tenis de caminata impermeables para mujer
Nike Go,"$2,599",Leggings de tiro alto de 7/8 de sujeción firme con bolsillos para mujer
Nike Pro Swoosh Asymmetrical,$999,Bra deportivo de media sujeción con almohadillas para mujer
Nike Revolution 7,"$1,699",Tenis de correr en pavimento para mujer
Nike Pro Indy Plunge,"$1,099",Bra deportivo de media sujeción con almohadillas para mujer
Nike Running Division,"$5,299",Chamarra de correr reflejante Therma-FIT para mujer
Nike Dunk Low LX,"$2,699",Tenis para mujer
Air Jordan 4RM,"$3,499",Tenis para mujer
Nike Air Force 1 Sage Low,"$2,799",Tenis para mujer
Nike Blazer Low Platform,"$2,399",Tenis para mujer
Nike Pegasus 41,"$2,999",Tenis de correr en pavimento para mujer
Nike SB Zoom Pogo Plus,"$2,149",Tenis de skateboarding para mujer
Nike Sportswear,"$1,599",Bolsa tipo tote de piel sintética (10 L)
Nike Sportswear Classic Puffer,"$2,099",Chaleco holgado Therma-FIT para mujer
Nike Court Vision Low Next Nature,"$1,799",Tenis para mujer
Nike Air Max Axis,"$1,049",Tenis para mujer
Nike Air Max Axis,"$1,049",Tenis para mujer
Nike Air Max Command,"$1,299",Tenis para mujer
Nike Air Force 1 Sage Low,"$1,679",Tenis para mujer
Nike Blazer Low Platform,"$1,439",Tenis para mujer
Nike Blazer Low Platform,"$1,439",Tenis para mujer
Nike Court Legacy Next Nature,"$1,189",Calzado para mujer
Nike Dunk Low Premium,"$2,099",Tenis para mujer
Nike Air Max INTRLK Lite,"$1,199",Calzado para mujer
Nike SB Alleyoop,$949,Calzado de skateboarding para mujer
Nike MC Trainer 3,"$1,439",Tenis de entrenamiento para mujer
Nike Air Force 1 '07,"$1,559",Tenis para mujer
Nike Air Force 1 Shadow,"$1,859",Calzado para mujer
Nike Court Vision Low Next Nature,"$1,259",Tenis para mujer
Nike Air Max Bolt,"$1,099",Tenis para mujer
Nike Zoom Air Fire,"$1,349",Tenis para mujer
Nike Air Max 90,"$2,099",Calzado para mujer
Nike Gamma Force,"$1,609",Calzado para mujer
Nike Sportswear Chill Knit,$909,Leggings acampanados de tela de minicanalé ajustados para mujer
Nike In-Season TR 13,"$1,399",Tenis de entrenamiento para mujer
Nike Zoom Air Fire,"$1,349",Tenis para mujer
Nike Sportswear Club Fleece,"$1,119",Sudadera con gorro de cierre completo para mujer
Nike Sportswear,"$1,519",Pants de French Terry de tiro bajo oversized con dobladillo abierto para mujer
Nike Air Max 270,"$1,899",Tenis para mujer
Nike Dunk High Next Nature,"$1,799",Tenis para mujer
Nike SB Alleyoop,$949,Calzado de skateboarding
Nike Everyday Cushioned,$359,Calcetas de entrenamiento (3 pares)
Nike Tanjun High Rise,$999,Calzado para mujer
Nike Sportswear Classics,$734,Leggings de cintura alta con gráficos para mujer
Nike Dunk Low,"$1,679",Tenis para mujer
Nike Pro Dri-FIT,$524,Falda pantalón con bolsillos de tiro alto de 8 cm para mujer
Nike Spark Lightweight,$399,Calcetas de correr
Nike,$719,Bolsa tipo tote para gimnasio (28 L)
NikeCourt Lite 4,"$1,399",Tenis de tenis para mujer
Nike Sportswear Futura Luxe,$719,Bolsa bandolera para mujer (1L)
Nike Streakfly,"$2,399",Tenis de carrera en carretera
Nike Pegasus 41,"$1,799",Tenis de correr en pavimento para mujer
Nike Cortez Leather,"$1,259",Tenis para mujer
Nike Everyday Cushioned,$359,Calcetines invisibles de entrenamiento (3 pares)
Nike Indy Light Support,$599,Bra deportivo ajustable con almohadillas para mujer
Jordan,$439,Calcetines al tobillo Everyday (3 pares)
Nike Air Max Dn,"$3,039",Tenis para mujer
Nike SB Chron 2,"$1,259",Tenis de skateboarding
Nike Blazer Low '77,"$1,759",Tenis para mujer
Nike Icon Classic SE,"$1,079",Sandalias para mujer
Nike Swoosh Medium Support,$719,Bra deportivo con almohadillas para mujer
Nike Cortez Textile,"$1,259",Tenis
Nike SB Alleyoop,$949,Calzado de skateboarding
Nike Zoom Vomero 5,"$1,849",Tenis para mujer
Nike Everyday Lightweight,$314,Calcetas de entrenamiento (3 pares)
Nike Waffle Debut,"$1,259",Tenis para mujer
Nike Woodside Chukka 2,"$1,499",Botas para mujer
Nike Zoom Vomero 5,"$2,219",Tenis para mujer
Nike Infinity G NN,"$1,519",Tenis de golf (anchos)
Nike Pro,$454,Shorts de 7.5 cm para mujer
Nike Woodside Chukka 2,"$1,499",Botas para mujer
Nike Cortez Textile,"$1,379",Tenis para mujer
Nike Dri-FIT ADV Club,$454,Gorra de tenis sin estructura
Jordan Jumpman Pro,$489,Gorra ajustable
NikeCourt Vapor 11 HC Premium,"$2,399",Tenis de tenis para cancha dura para mujer
Nike Cortez Textile,"$1,379",Tenis para mujer
Jordan,$384,Calcetines al tobillo Everyday (3 pares)
Nike Brasilia 9.5,$719,"Mochila de entrenamiento (mediana, 24 L)"
Nike Alphafly 3,"$4,549",Tenis de carrera en pavimento para mujer
Nike Pegasus Plus,"$2,519",Tenis de correr en pavimento para mujer
Nike Structure 25,"$1,799",Tenis de correr en pavimento para mujer
Nike Gym Club,$719,Bolsa de entrenamiento (24 L)
Nike SB Dunk Low Pro Electric,"$2,099",Tenis de skateboarding
Nike Dri-FIT ADV Ace,$359,Visera de tenis
Nike Cortez Premium Leather,"$1,499",Tenis para mujer
Nike Calm SE,$979,Chanclas para mujer
Nike Universa,"$1,539",Leggings de 7/8 de tiro alto y sujeción media con bolsillos para mujer
Nike One,$899,Camiseta de tirantes de correr Dri-FIT con gráfico para mujer
Nike Zoom Bella 6,"$2,099",Tenis de entrenamiento para mujer
NikeCourt Dri-FIT Victory,$999,Falda de tenis para mujer
NikeCourt Victory,$899,Camiseta de tirantes de tenis para mujer
Nike Air Force 1 '07 Next Nature,"$2,599",Tenis para mujer
Nike Sportswear Club Essentials,$649,Playera para mujer
Nike Fast,"$2,149",Chamarra de correr Repel para mujer
NikeCourt Vision Mid,"$2,199",Tenis para mujer
Nike Sportswear Phoenix Plush,"$1,799",Pants de tejido Fleece cálidos de piernas anchas y tiro alto para mujer
Nike Waffle Debut,"$1,799",Tenis para mujer
Nike Sportswear,$999,Playera de manga corta holgada con gráfico para mujer
Nike Air Max Nuaxis,"$1,999",Tenis para mujer
Nike Sportswear Chill Knit,"$1,299",Leggings acampanados de tela de minicanalé ajustados para mujer
Nike Cortez Vintage Suede,"$2,299",Tenis para mujer
Nike Therma-FIT ADV Repel AeroLoft,"$3,699",Chaleco de running para mujer
Nike Sportswear Chill Knit,$999,Playera de manga larga slim cropped para mujer
Nike Blazer Mid '77,"$2,499",Tenis para mujer
Nike Universa,"$2,199",Leggings de largo completo y tiro alto de media sujeción con bolsillos para mujer
Nike Sportswear Classic,$799,Shorts de ciclismo de tiro alto de 20 cm para mujer
Nike Air Max 270,"$3,799",Tenis para mujer
Jordan Sport,$899,Bra Jumpman de media sujeción con almohadillas para mujer
Nike Sportswear Essential,"$3,699",Chamarra de piel sintética estampada holgada para mujer
Nike Court Vision Low Next Nature,"$1,799",Tenis para mujer
Nike Alate Minimalist,$949,Bra deportivo convertible con almohadillas de baja sujeción para mujer
Nike Alate Coverage,"$1,049",Bra deportivo de media sujeción con almohadillas para mujer
Nike Universa,"$2,199",Leggings de 7/8 de tiro alto y sujeción media con bolsillos para mujer
Nike Pegasus 41 PRM,"$3,099",Tenis de correr en pavimento para mujer
Nike Running Division,"$1,799",Playera de correr de manga larga para mujer
Nike Pro Indy Plunge,"$1,099",Bra deportivo de media sujeción con almohadillas para mujer
Nike Running Division,"$1,599",Shorts de correr reflejantes sin forro de 8 cm para mujer
Nike V2K Run,"$2,799",Tenis para mujer
Nike Sportswear Phoenix Cozy Bouclé,"$3,199",Cárdigan de tejido Knit oversized para mujer
Pumas UNAM alternativo 2024/25 Stadium,"$1,899",Jersey de fútbol Nike Dri-FIT Replica para mujer
Nike Motiva GORE-TEX,"$3,299",Tenis de caminata impermeables para mujer
Nike Go,"$2,599",Leggings de tiro alto de 7/8 de sujeción firme con bolsillos para mujer
Nike Pro Swoosh Asymmetrical,$999,Bra deportivo de media sujeción con almohadillas para mujer
Nike Revolution 7,"$1,699",Tenis de correr en pavimento para mujer
Nike Pro Indy Plunge,"$1,099",Bra deportivo de media sujeción con almohadillas para mujer
Nike Running Division,"$5,299",Chamarra de correr reflejante Therma-FIT para mujer
Nike Dunk Low LX,"$2,699",Tenis para mujer
Air Jordan 4RM,"$3,499",Tenis para mujer
Nike Air Force 1 Sage Low,"$2,799",Tenis para mujer
Nike Blazer Low Platform,"$2,399",Tenis para mujer
Nike Pegasus 41,"$2,999",Tenis de correr en pavimento para mujer
Nike SB Zoom Pogo Plus,"$2,149",Tenis de skateboarding para mujer
Nike Sportswear,"$1,599",Bolsa tipo tote de piel sintética (10 L)
Nike Sportswear Classic Puffer,"$2,099",Chaleco holgado Therma-FIT para mujer
Nike Court Vision Low Next Nature,"$1,799",Tenis para mujer
Nike Air Max Axis,"$1,049",Tenis para mujer
Nike Air Max Axis,"$1,049",Tenis para mujer
Nike Air Max Command,"$1,299",Tenis para mujer
Nike Air Force 1 Sage Low,"$1,679",Tenis para mujer
Nike Blazer Low Platform,"$1,439",Tenis para mujer
Nike Blazer Low Platform,"$1,439",Tenis para mujer
Nike Court Legacy Next Nature,"$1,189",Calzado para mujer
Nike Dunk Low Premium,"$2,099",Tenis para mujer
Nike Air Max INTRLK Lite,"$1,199",Calzado para mujer
Nike SB Alleyoop,$949,Calzado de skateboarding para mujer
Nike MC Trainer 3,"$1,439",Tenis de entrenamiento para mujer
Nike Air Force 1 '07,"$1,559",Tenis para mujer
Nike Air Force 1 Shadow,"$1,859",Calzado para mujer
Nike Court Vision Low Next Nature,"$1,259",Tenis para mujer
Nike Air Max Bolt,"$1,099",Tenis para mujer
Nike Zoom Air Fire,"$1,349",Tenis para mujer
Nike Air Max 90,"$2,099",Calzado para mujer
Nike Gamma Force,"$1,609",Calzado para mujer
Nike Sportswear Chill Knit,$909,Leggings acampanados de tela de minicanalé ajustados para mujer
Nike In-Season TR 13,"$1,399",Tenis de entrenamiento para mujer
Nike Zoom Air Fire,"$1,349",Tenis para mujer
Nike Sportswear Club Fleece,"$1,119",Sudadera con gorro de cierre completo para mujer
Nike Sportswear,"$1,519",Pants de French Terry de tiro bajo oversized con dobladillo abierto para mujer
Nike Air Max 270,"$1,899",Tenis para mujer
Nike Dunk High Next Nature,"$1,799",Tenis para mujer
Nike SB Alleyoop,$949,Calzado de skateboarding
Nike Everyday Cushioned,$359,Calcetas de entrenamiento (3 pares)
Nike Tanjun High Rise,$999,Calzado para mujer
Nike Sportswear Classics,$734,Leggings de cintura alta con gráficos para mujer
Nike Dunk Low,"$1,679",Tenis para mujer
Nike Pro Dri-FIT,$524,Falda pantalón con bolsillos de tiro alto de 8 cm para mujer
Nike Spark Lightweight,$399,Calcetas de correr
Nike,$719,Bolsa tipo tote para gimnasio (28 L)
NikeCourt Lite 4,"$1,399",Tenis de tenis para mujer
Nike Sportswear Futura Luxe,$719,Bolsa bandolera para mujer (1L)
Nike Streakfly,"$2,399",Tenis de carrera en carretera
Nike Pegasus 41,"$1,799",Tenis de correr en pavimento para mujer
Nike Cortez Leather,"$1,259",Tenis para mujer
Nike Everyday Cushioned,$359,Calcetines invisibles de entrenamiento (3 pares)
Nike Indy Light Support,$599,Bra deportivo ajustable con almohadillas para mujer
Jordan,$439,Calcetines al tobillo Everyday (3 pares)
Nike Air Max Dn,"$3,039",Tenis para mujer
Nike SB Chron 2,"$1,259",Tenis de skateboarding
Nike Blazer Low '77,"$1,759",Tenis para mujer
Nike Icon Classic SE,"$1,079",Sandalias para mujer
Nike Swoosh Medium Support,$719,Bra deportivo con almohadillas para mujer
Nike Cortez Textile,"$1,259",Tenis
Nike SB Alleyoop,$949,Calzado de skateboarding
Nike Zoom Vomero 5,"$1,849",Tenis para mujer
Nike Everyday Lightweight,$314,Calcetas de entrenamiento (3 pares)
Nike Waffle Debut,"$1,259",Tenis para mujer
Nike Woodside Chukka 2,"$1,499",Botas para mujer
Nike Zoom Vomero 5,"$2,219",Tenis para mujer
Nike Infinity G NN,"$1,519",Tenis de golf (anchos)
Nike Pro,$454,Shorts de 7.5 cm para mujer
Nike Woodside Chukka 2,"$1,499",Botas para mujer
Nike Cortez Textile,"$1,379",Tenis para mujer
Nike Dri-FIT ADV Club,$454,Gorra de tenis sin estructura
Jordan Jumpman Pro,$489,Gorra ajustable
NikeCourt Vapor 11 HC Premium,"$2,399",Tenis de tenis para cancha dura para mujer
Nike Cortez Textile,"$1,379",Tenis para mujer
Jordan,$384,Calcetines al tobillo Everyday (3 pares)
Nike Brasilia 9.5,$719,"Mochila de entrenamiento (mediana, 24 L)"
Nike Alphafly 3,"$4,549",Tenis de carrera en pavimento para mujer
Nike Pegasus Plus,"$2,519",Tenis de correr en pavimento para mujer
Nike Structure 25,"$1,799",Tenis de correr en pavimento para mujer
Nike Gym Club,$719,Bolsa de entrenamiento (24 L)
Nike SB Dunk Low Pro Electric,"$2,099",Tenis de skateboarding
Nike Dri-FIT ADV Ace,$359,Visera de tenis
Nike Cortez Premium Leather,"$1,499",Tenis para mujer
Nike Calm SE,$979,Chanclas para mujer
Nike Universa,"$1,539",Leggings de 7/8 de tiro alto y sujeción media con bolsillos para mujer
Nike Pro 365,$519,Shorts de 13 cm para mujer
Nike Elite Mid,$279,Calcetines de básquetbol
Nike Swoosh Medium Support,$629,Bra deportivo con almohadillas para mujer
Nike Phantom Luna 2 Club,"$1,259",Tacos de fútbol TF high
Nike Everyday,$314,Calcetines de entrenamiento al tobillo
NikeCourt Slam,"$1,819",Vestido de tenis Dri-FIT para mujer
Nike Brasilia 9.5,$719,"Maleta de entrenamiento (grande, 95L)"
Nike Dri-FIT,$349,Calcetas de trail running
Nike Mercurial Vapor 16 Academy,"$1,539",Tacos de fútbol TF de corte low
Jordan,$384,Calcetines al tobillo Everyday (3 pares)
Nike AeroSwift,$799,Camiseta sin mangas de correr Dri-FIT ADV para mujer
Nike Phantom GX 2 Elite,"$3,989",Tacos de fútbol de corte low FG
Nike Mercurial Superfly 10 Academy,"$1,749",Tacos de fútbol MG de corte high
Nike Mercurial Superfly 10 Academy,"$1,749",Tacos de fútbol TF de corte high
Nike Tiempo Legend 10 Pro,"$2,169",Tacos de fútbol de corte low para pasto sintético (turf)
Nike Pitch Team,$499,Balón de fútbol
Nike Club,$479,Gorra desestructurada Futura Wash
Nike Elemental,$639,Mochila (21 L)
Nike Swoosh Medium Support,$719,Bra deportivo con almohadillas para mujer
Nike Elemental,$639,Mochila (21L)
Nike Spark Lightweight,$399,Calcetas de correr
Nike SB Club,$519,Gorra de skateboarding sin estructura
Jordan,$439,Calcetas Everyday (3 pares)
Nike Brasilia,$839,"Mochila (mediana, 24 L)"
Jordan Essentials,$399,Calcetas (3 pares)
Nike Alate High Support,"$1,119",Bra deportivo convertible con almohadillas para mujer
Nike Multiplier,$399,Calcetas (2 pares)
Nike One,$799,Shorts Dri-FIT 2 en 1 de tiro medio de 8 cm para mujer
Nike Everyday Plus,$314,Calcetas acolchadas (1 par)
Nike Sportswear Classic,$639,Shorts de ciclismo de tiro alto de 20 cm para mujer
Nike Air Max Dn Premium,"$3,199",Tenis para mujer
Nike Tiempo Legend 10 Academy,"$1,399",Tacos de fútbol de corte low para pasto sintético (turf)
Nike Waffle Debut,"$1,439",Tenis para mujer
Nike SB,"$1,854",Chamarra de trabajo de skateboarding
Nike Rise Cap,$419,Gorra de rejilla estructurada
Nike Victori One,$719,Chancla para mujer
Nike Sportswear Futura,$389,Bolsa bandolera para mujer (3L)
Nike Versair,"$1,919",Calzado de entrenamiento para mujer
Nike SB Chron 2,"$1,259",Tenis de skateboarding
Nike Academy,$359,Bolsa para calzado de fútbol
Nike Sportswear Essentials,$519,Bolsa bandolera (1 L)
Nike Sportswear Futura Luxe,$959,Bolsa para mujer (10 L)
NikeCourt Dri-FIT Victory,$799,Falda de tenis para mujer
Nike Court Vision Alta,"$1,469",Calzado para mujer
Nike Mercurial Superfly 10 Elite,"$4,969",Tacos de fútbol FG de corte high
Nike Sportswear Destroyer,"$2,399",Chamarra de lona cropped para mujer
Nike Court Vision Low Next Nature,"$1,259",Tenis para mujer
Nike Killshot 2,"$1,199",Tenis para mujer
Nike One,$899,Camiseta de tirantes de correr Dri-FIT con gráfico para mujer
Nike Zoom Bella 6,"$2,099",Tenis de entrenamiento para mujer
NikeCourt Dri-FIT Victory,$999,Falda de tenis para mujer
NikeCourt Victory,$899,Camiseta de tirantes de tenis para mujer
Nike Air Force 1 '07 Next Nature,"$2,599",Tenis para mujer
Nike Sportswear Club Essentials,$649,Playera para mujer
Nike Fast,"$2,149",Chamarra de correr Repel para mujer
NikeCourt Vision Mid,"$2,199",Tenis para mujer
Nike Sportswear Phoenix Plush,"$1,799",Pants de tejido Fleece cálidos de piernas anchas y tiro alto para mujer
Nike Waffle Debut,"$1,799",Tenis para mujer
Nike Sportswear,$999,Playera de manga corta holgada con gráfico para mujer
Nike Air Max Nuaxis,"$1,999",Tenis para mujer
Nike Sportswear Chill Knit,"$1,299",Leggings acampanados de tela de minicanalé ajustados para mujer
Nike Cortez Vintage Suede,"$2,299",Tenis para mujer
Nike Therma-FIT ADV Repel AeroLoft,"$3,699",Chaleco de running para mujer
Nike Sportswear Chill Knit,$999,Playera de manga larga slim cropped para mujer
Nike Blazer Mid '77,"$2,499",Tenis para mujer
Nike Universa,"$2,199",Leggings de largo completo y tiro alto de media sujeción con bolsillos para mujer
Nike Sportswear Classic,$799,Shorts de ciclismo de tiro alto de 20 cm para mujer
Nike Air Max 270,"$3,799",Tenis para mujer
Jordan Sport,$899,Bra Jumpman de media sujeción con almohadillas para mujer
Nike Sportswear Essential,"$3,699",Chamarra de piel sintética estampada holgada para mujer
Nike Court Vision Low Next Nature,"$1,799",Tenis para mujer
Nike Alate Minimalist,$949,Bra deportivo convertible con almohadillas de baja sujeción para mujer
Nike Alate Coverage,"$1,049",Bra deportivo de media sujeción con almohadillas para mujer
Nike Universa,"$2,199",Leggings de 7/8 de tiro alto y sujeción media con bolsillos para mujer
Nike Pegasus 41 PRM,"$3,099",Tenis de correr en pavimento para mujer
Nike Running Division,"$1,799",Playera de correr de manga larga para mujer
Nike Pro Indy Plunge,"$1,099",Bra deportivo de media sujeción con almohadillas para mujer
Nike Running Division,"$1,599",Shorts de correr reflejantes sin forro de 8 cm para mujer
Nike V2K Run,"$2,799",Tenis para mujer
Nike Sportswear Phoenix Cozy Bouclé,"$3,199",Cárdigan de tejido Knit oversized para mujer
Pumas UNAM alternativo 2024/25 Stadium,"$1,899",Jersey de fútbol Nike Dri-FIT Replica para mujer
